,Year,State,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
109,2009,California,22.8387675070028,35.33675070028011,4.967751420063218,6.208576686287785
110,2009,Colorado,30.61875,38.8,8.618909766793575,6.256109837342496
111,2009,Florida,13.583333333333334,35.33620689655172,4.188719393230413,5.366113429296519
112,2009,Illinois,25.836727879799668,26.9449081803005,6.585331875385582,5.02450882493032
113,2009,Indiana,20.073446327683616,34.429378531073446,7.476051362838829,4.789257789319835
114,2009,Kansas,24.42105263157895,29.301169590643276,10.80358630188128,5.656192074184599
115,2009,Louisiana,25.473684210526315,30.49584487534626,8.72002212828939,4.660347198838328
116,2009,New York,22.937423312883435,30.33312883435583,8.309812757591065,4.790015128753619
117,2009,North Carolina,21.048571428571428,34.934285714285714,5.56368655250783,5.484725908771119
118,2009,Pennsylvania,20.40885054272196,34.024770386863345,9.939295449129563,4.870548937676432
119,2009,Texas,18.456833784064905,31.486582067817764,5.5037563432375505,4.731290534208549
120,2010,Arizona,32.005662514156285,37.8154020385051,5.0859073366312115,6.324458795501324
121,2010,California,21.960830324909747,33.543561973525875,4.5998251063933395,5.767852397990207
122,2010,Colorado,31.224056603773583,32.60377358490566,7.427076040378543,6.337919978851887
123,2010,Florida,13.442896935933147,35.467966573816156,4.067721570414804,5.665428256562558
124,2010,Illinois,24.510276399716513,35.00425230333097,8.150105505631242,5.747417474347005
125,2010,Indiana,20.360544217687075,38.04761904761905,8.564774987882082,4.474487813532938
126,2010,Kansas,25.739766081871345,27.4093567251462,10.98925881650115,6.352098506933149
127,2010,Louisiana,26.28611898016997,34.92634560906516,7.451739972176001,4.98413303139348
128,2010,New York,23.191082802547772,35.232484076433124,7.76736717125212,5.229189057087795
129,2010,North Carolina,23.963483146067414,41.09550561797753,5.437185749939622,5.716696213747045
130,2010,Pennsylvania,21.665265760197777,39.6415327564895,8.30105461807489,5.048729549292118
131,2010,Texas,21.951204939255128,33.30691097390958,5.580366616073195,4.859779113880471
132,2011,Arizona,31.61301177790241,38.68536174985979,4.779131034712574,6.10990698400549
133,2011,California,21.74052493718929,35.759769070401454,4.460058442193797,5.883071997524308
134,2011,Colorado,36.06750392464678,42.07064364207221,7.999887494423109,5.8821251196617075
135,2011,Florida,12.715068493150685,35.95068493150685,3.942903773642949,5.881858981178127
136,2011,Illinois,23.297520661157026,33.294342021614746,7.880286316380312,5.630214125637515
137,2011,Indiana,20.494565217391305,45.78260869565217,9.674820092880568,3.6260147286468
138,2011,Kansas,25.074285714285715,27.32,9.256543695364988,6.432583051628227
139,2011,Louisiana,24.482093663911847,35.99724517906336,6.82243507671093,4.684247750565623
140,2011,New York,21.932481022772674,30.316819816220537,7.614304667912178,5.052630094838386
141,2011,North Carolina,20.946554149085795,42.09845288326301,4.690180424318179,5.667073708650566
142,2011,Pennsylvania,21.132558561830397,33.20319593244961,7.156430617741244,4.856294392730373
143,2011,Texas,21.34185943060498,36.582517793594306,5.1924251137686195,4.698697693213965
144,2012,Arizona,34.27432216905901,40.37267410951622,4.753878699542087,6.212014350985662
145,2012,California,19.635607624135,35.91228602646595,4.312807289643044,5.692997664483826
146,2012,Colorado,36.44721407624633,35.54618768328446,8.165701026128746,6.090673952197866
147,2012,Florida,12.806010928961749,33.478142076502735,3.8448575126952766,5.603488594173106
148,2012,Illinois,22.624242424242425,39.97575757575758,6.343578327399618,5.233903397948602
149,2012,Indiana,22.366013071895424,51.11764705882353,7.923985338689063,5.9525457033555025
150,2012,Kansas,24.90748898678414,38.28046989720998,9.429399620293136,6.862467675081129
151,2012,Louisiana,23.68169014084507,34.32676056338028,5.343887759751344,4.678579027483326
152,2012,New York,30.44733242134063,32.05608755129959,7.636631637518565,5.600212522021075
153,2012,North Carolina,18.521103896103895,39.496753246753244,3.957322916144234,5.186609025654218
154,2012,Pennsylvania,21.21905785420025,33.69550420920652,6.957374434994955,4.796702602374103
155,2012,Texas,21.39181532004197,36.04512067156348,4.941905535992526,4.609944766513071
156,2013,Arizona,30.119144602851325,43.91140529531568,4.645039476569516,5.880171064430141
157,2013,California,20.668453378001118,37.68799553322167,4.1864123731634075,5.836013791984421
158,2013,Colorado,25.502857142857142,39.153333333333336,7.101305600126871,5.543059242104467
159,2013,Florida,11.44225352112676,34.816901408450704,3.7129018442584347,5.027874802131218
160,2013,Illinois,21.165079365079364,34.974603174603175,5.971199780021093,5.161258498546057
161,2013,Indiana,19.44364012409514,37.33919338159255,10.123062264449407,5.067583790289786
162,2013,Kansas,23.564935064935064,34.561688311688314,8.40537486419617,6.2807648698100405
163,2013,Louisiana,19.869444444444444,33.53611111111111,5.046861155682508,4.50940844845359
164,2013,New York,30.091539528432733,31.918169209431344,6.142576982466215,5.315218280477087
165,2013,North Carolina,17.755681818181817,36.79545454545455,3.913085903157206,5.251138246433455
166,2013,Pennsylvania,18.52426343154246,34.87487001733102,6.68425513792048,4.38166014589051
